Date,GHI_Satellite,ClearSky_GHI,Ambient_Temp,Humidity,Wind_Speed,PlantA_E_solar,PlantB_E_solar,PlantA_E_biogas,PlantB_E_biogas
2023-03-12,5.3074,5.3467,28.65,35.44,2.2,7.84486794,39.2243397,10.340264456773168,37.99499757693198
2023-03-13,5.6645,5.8008,29.6,33.12,1.72,8.340409800000002,41.702049,9.704969767601378,37.81888221478394
2023-03-14,4.0966,4.5499,29.05,42.96,3.29,6.04535262,30.226763099999996,10.698223045077926,37.878461387083235
2023-03-15,3.9528,4.5223,28.6,52.07,2.54,5.84381952,29.2190976,9.98224506302503,39.489788299289856
2023-03-16,3.2203,4.4251,26.88,61.63,2.85,4.794125016,23.97062508,9.097045756144668,39.16764982734982
2023-03-17,2.1132,4.0757,26.31,60.42,1.91,3.153190248,15.765951239999998,9.275833173645738,37.14182693107878
2023-03-18,4.2432,4.7126,26.15,61.76,1.65,6.33552192,31.6776096,9.632661936006558,40.374271082796746
2023-03-19,1.6738,5.2896,23.6,80.05,3.08,2.52475992,12.6237996,9.532929143570966,39.41635939062152
2023-03-20,3.263,5.5687,24.36,72.65,3.59,4.907029919999999,24.535149599999993,9.875023949313366,39.85523027506465
2023-03-21,4.7714,5.8944,26.08,67.1,2.32,7.1261813279999995,35.63090664,9.630802345134025,39.906016641595144
2023-03-22,5.2973,5.4156,26.28,61.21,2.04,7.905266736,39.52633367999999,8.348945204849395,39.14951655114914
2023-03-23,5.4545,5.7778,26.5,58.77,2.08,8.1326595,40.6632975,9.03252859201397,37.46053632393327
2023-03-24,5.1125,5.5344,27.1,62.03,2.12,7.6043325,38.0216625,10.117157171344221,39.36718934097185
2023-03-25,4.6922,5.1948,28.17,62.85,2.73,6.9490543559999995,34.745271779999996,9.576770747588784,38.55711224477766
2023-03-26,4.7539,5.2579,28.65,65.25,3.3,7.02673959,35.133697950000006,9.592210969267862,38.71855090966982
2023-03-27,4.5029,5.3616,27.75,70.88,2.43,6.680052150000001,33.40026075,9.43264409372338,35.42300426113346
2023-03-28,5.0962,5.1842,27.88,66.67,2.02,7.556237663999999,37.78118832,9.733531573484738,36.76517250652715
2023-03-29,4.6075,5.2152,28.0,69.44,2.99,6.828315,34.141575,10.22478135490598,39.12163458776277
2023-03-30,4.6522,4.8367,27.59,72.66,2.89,6.906004811999999,34.53002406,9.31240583351902,36.02073330587716
2023-03-31,2.9508,5.3419,26.09,82.95,2.53,4.406901768,22.03450884,10.376480391928743,38.65950398847215
2023-04-01,3.1274,5.4773,24.24,86.71,1.8,4.705360944000001,23.526804719999998,8.852060286290556,35.7811251394687
2023-04-02,6.4193,6.5383,25.71,73.2,2.26,9.601603782,48.008018910000004,9.306429692967207,36.937769541300916
2023-04-03,6.6677,6.684,27.27,67.25,2.35,9.910735926000001,49.55367963,9.290014021801053,41.45058844047484
2023-04-04,5.9609,6.2107,28.14,67.47,3.04,8.829046644,44.14523322,10.274686317518404,36.81855242336956
2023-04-05,5.9282,6.198,29.29,68.97,2.77,8.739708132,43.698540660000006,10.043547424373513,39.67992830775144
2023-04-06,6.7152,6.7649,28.94,56.53,2.07,9.914052672,49.570263360000006,9.263373411159103,35.37677989931104
2023-04-07,6.6655,6.8206,29.04,53.05,2.02,9.83667828,49.183391400000005,9.694965411145215,39.53248871546371
2023-04-08,6.6893,6.81,29.51,51.65,2.0,9.852937542,49.26468771,9.687839769086038,40.543660901288945
2023-04-09,6.637,6.6662,30.09,48.07,2.1,9.752806019999998,48.764030099999985,9.722582911225802,41.08525824532262
2023-04-10,6.5443,6.5724,30.22,49.41,1.95,9.611482524,48.05741262,9.86566359272669,39.56359084470643
2023-04-11,6.4574,6.4783,30.85,51.07,1.69,9.45944526,47.2972263,9.438971868985417,39.70451478135121
2023-04-12,7.0066,7.0241,30.78,35.15,1.71,10.266911111999999,51.33455556,10.358389765199767,38.164246648387476
2023-04-13,7.0975,7.1062,31.2,38.4,2.13,10.382223,51.911114999999995,10.247545211370047,39.782375727937385
2023-04-14,6.869,6.8926,31.75,51.73,2.18,10.0253055,50.126527499999995,9.892924329381884,42.6779958728674
2023-04-15,5.9004,6.4322,32.54,56.33,1.89,8.583665904,42.91832952,9.941971351037397,42.465617630928726
2023-04-16,6.1085,6.5112,31.93,56.09,2.17,8.908758570000002,44.54379285,11.024853455163992,42.66131249854552
2023-04-17,6.0977,6.1344,32.35,58.74,3.59,8.877641429999999,44.38820715,11.554768592326713,42.32628330744859
2023-04-18,5.7403,5.9352,32.61,59.87,2.94,8.348347902,41.74173951,10.65604088819226,41.37532307269755
2023-04-19,5.9285,6.0629,32.86,59.66,3.61,8.61316194,43.065809699999996,10.731525400837924,42.12978096313239
2023-04-20,6.018,6.2412,33.28,58.47,3.85,8.72802576,43.6401288,10.586388532841704,44.00564696093007
2023-04-21,4.2374,5.4794,33.03,54.76,1.98,6.151942067999999,30.75971034,10.796368454338765,43.75810647112125
2023-04-22,5.9429,6.4529,32.28,40.95,1.6,8.654764127999998,43.27382064,11.109482436952396,43.90497646997737
2023-04-23,2.3326,6.1289,29.6,50.68,3.24,3.43452024,17.1726012,11.102249507704848,44.15488848933029
2023-04-24,4.9238,6.8242,29.74,58.4,1.76,7.245667128,36.22833564,10.706014183714943,43.18091412667162
2023-04-25,6.4054,6.8177,29.24,60.3,2.09,9.445146624000001,47.22573312,10.732127487921815,44.19581480808989
2023-04-26,6.2364,6.7538,30.89,52.68,1.16,9.134205624,45.671028119999995,10.524558543139946,45.73665403375268
2023-04-27,5.2574,6.4615,31.67,53.85,1.56,7.675698851999999,38.37849426,10.574826925871264,45.16207896233682
2023-04-28,5.783,6.4814,29.45,66.45,2.3,8.520093899999999,42.6004695,10.036427621447256,45.63573574261739
2023-04-29,5.3458,6.402,30.12,65.67,2.57,7.854477023999999,39.272385119999996,10.97266164146884,42.65223564060745
2023-04-30,5.5632,6.468,30.09,66.04,1.12,8.174899872,40.87449936,10.082019480021158,44.5303280683737
2023-05-01,4.6519,6.3046,28.21,71.35,1.75,6.888254406000001,34.44127203000001,11.0384430932494,45.70414501177994
2023-05-02,6.6134,6.9682,29.72,60.45,1.36,9.732808512000002,48.66404256,10.133848533557652,43.67619994739169
2023-05-03,4.7402,6.8578,29.0,69.93,2.57,6.996535199999999,34.982676000000005,10.45397984138249,43.370369418094555
2023-05-04,4.8451,6.696,28.92,69.31,2.82,7.153693248000001,35.76846624,10.140032307742405,42.69059751920898
2023-05-05,5.4718,6.0886,29.06,71.87,2.33,8.074406951999999,40.37203476,10.529988740220462,43.10830665857954
2023-05-06,4.9001,5.9155,30.23,68.58,2.04,7.1963848619999995,35.981924310000004,10.34885057027942,42.29432811771916
2023-05-07,6.6007,6.6847,31.41,60.08,2.55,9.647187078,48.23593539,10.787970745338583,44.69925818266455
2023-05-08,7.2084,7.2312,32.21,57.64,2.87,10.500764616,52.503823080000004,11.030669066672539,39.750867649208715
2023-05-09,5.8099,6.6425,32.75,55.14,3.1,8.44468965,42.22344825,11.48384886347625,41.7182372678998
2023-05-10,6.0521,6.444,32.95,59.51,3.31,8.78946483,43.94732414999999,11.046359901167593,43.11017156991518
2023-05-11,6.3799,6.497,32.55,60.37,2.39,9.28084053,46.404202649999995,9.963133047676784,42.09417877842145
2023-05-12,4.2058,6.1733,31.09,65.18,1.71,6.155020068,30.77510034,10.529356771213797,42.51958637840415
2023-05-13,4.7218,6.2426,31.09,65.1,2.99,6.910165428,34.550827139999996,11.983883967600109,44.408362780425115
2023-05-14,5.3263,6.781,30.42,58.9,5.23,7.816238724,39.08119361999999,10.23427919187615,43.47067941104145
2023-05-15,6.8945,7.153,31.06,53.09,3.27,10.09106598,50.455329899999995,11.189238103697157,40.93931618449345
2023-05-16,5.5464,6.287,31.67,65.68,4.29,8.097633072,40.488165359999996,9.494629786572135,47.582172161984104
2023-05-17,5.7593,6.5786,30.41,75.45,4.12,8.452003121999999,42.260015609999996,10.852399549513384,42.51424757874249
2023-05-18,5.1302,6.4584,28.58,84.72,3.49,7.585103304,37.92551652,11.303574892666319,44.1876445442911
2023-05-19,5.179,6.5381,29.26,83.28,3.76,7.63612476,38.1806238,11.15211598891746,43.07431192274795
2023-05-20,6.7574,6.8638,30.5,73.55,3.78,9.913105799999999,49.56552899999999,10.511615412775392,44.59052287332146
2023-05-21,5.5531,6.3511,29.83,77.68,4.0,8.168721161999999,40.84360581,10.5610508579773,44.447136496692494
2023-05-22,5.9174,6.0768,29.64,79.19,3.94,8.711359583999998,43.556797919999994,10.995742379583358,40.72764439498146
2023-05-23,4.9303,6.0792,29.24,83.6,2.34,7.270023168000001,36.35011584,10.551436927622078,41.42266541384383
2023-05-24,5.1862,6.5592,28.1,84.28,2.66,7.682836680000001,38.414183400000006,10.636042005372616,42.222189465185544
2023-05-25,5.7876,6.5232,28.18,85.3,2.45,8.570972592,42.854862960000006,10.802639563894617,46.02768184841551
2023-05-26,6.2974,6.5028,28.95,83.25,2.48,9.29685162,46.4842581,10.650883529290098,43.306668779725065
2023-05-27,3.7462,6.5628,28.98,78.7,2.14,5.5298407439999995,27.649203720000003,10.287444529245425,44.47283260177232
2023-05-28,6.8474,7.0646,29.01,74.07,0.95,10.106351556,50.53175778000001,10.163155367287711,40.16665885075092
2023-05-29,7.3106,7.3913,30.06,70.86,1.3,10.743950184,53.719750919999996,10.597742554851468,42.996411637000335
2023-05-30,6.726,7.1938,30.66,73.1,1.52,9.86058504,49.302925200000004,10.747488486854412,40.6601080318645
2023-05-31,6.5534,6.9245,31.06,74.58,2.01,9.591818375999999,47.959091879999995,10.381097803121179,39.786563767770815
2023-06-01,5.6515,6.0794,30.62,76.51,2.57,8.28668142,41.433407100000004,12.045403806486254,46.867541602166305
2023-06-02,6.6732,6.7138,31.07,74.8,3.17,9.766762056,48.83381028,12.139871971474237,48.959340116067345
2023-06-03,6.2393,6.4586,30.85,75.5,3.0,9.13995057,45.69975285,11.914161929203505,49.297574121908795
2023-06-04,6.4234,6.8719,30.84,75.16,2.71,9.410024064,47.05012032,12.603852884721148,47.71562471226146
2023-06-05,6.9881,7.0423,30.39,76.46,2.03,10.256154846000001,51.28077423,12.34298356823471,50.47081185316812
2023-06-06,6.4889,6.5515,30.61,76.24,2.29,9.514933626,47.57466812999999,12.789800579352688,51.95006319235223
2023-06-07,5.3609,6.4666,31.1,74.52,2.36,7.8451410599999996,39.2257053,12.424979002192801,51.19151866337106
2023-06-08,2.2786,6.4766,31.66,71.43,2.11,3.326847144,16.63423572,12.376620119025324,52.41216669274522
2023-06-09,2.9568,6.6192,30.11,76.44,2.78,4.344544512,21.722722559999998,12.898787387855334,48.48569044523712
2023-06-10,4.0202,6.3406,30.37,75.72,1.98,5.900769156,29.503845779999995,13.404595252377941,49.03617701903644
2023-06-11,4.6265,5.8301,30.39,78.42,2.99,6.7901289899999995,33.950644950000004,12.668413090916719,51.80030506833318
2023-06-12,3.2957,5.149,29.78,82.38,3.2,4.849029324,24.24514662,12.785666159295834,52.758553796483014
2023-06-13,4.4774,5.8716,30.06,83.55,3.6,6.580166136000001,32.90083068,12.807043594403005,50.79671595774703
2023-06-14,6.2321,6.6751,30.19,83.94,5.17,9.154082406,45.770412029999996,13.076201888133964,50.803789700473246
2023-06-15,4.9798,6.3329,31.07,80.04,5.9,7.288335684,36.44167842,12.940354692884164,50.26655548361043
