Date,GHI_Satellite,ClearSky_GHI,Ambient_Temp,Humidity,Wind_Speed
2023-08-21,5.195,6.5671,28.27,88.9,2.66
2023-08-22,3.199,6.2712,28.46,90.76,3.47
2023-08-23,2.7322,6.445,28.57,90.55,2.79
2023-08-24,3.5086,6.336,28.32,92.64,2.34
2023-08-25,1.385,6.0262,28.04,92.03,3.06
2023-08-26,2.1067,5.2742,27.68,92.88,3.67
2023-08-27,5.1977,6.0341,28.33,90.71,3.17
2023-08-28,5.0618,5.9045,29.54,83.79,2.11
2023-08-29,5.5848,5.9383,29.99,77.11,1.11
2023-08-30,5.3453,6.055,30.44,76.05,1.02
2023-08-31,5.1295,5.9208,29.98,80.84,1.09
2023-09-01,3.8671,5.2596,29.16,87.86,1.88
2023-09-02,4.08,5.4307,29.23,86.92,1.27
2023-09-03,4.8233,6.2813,28.94,88.42,1.59
2023-09-04,4.7834,6.6367,27.65,91.89,3.06
2023-09-05,5.3551,6.5318,28.68,88.81,2.71
2023-09-06,5.0743,6.5405,28.14,92.36,2.81
2023-09-07,4.1062,6.6862,28.04,93.16,4.18
2023-09-08,3.1018,6.3168,27.71,94.43,3.47
2023-09-09,5.4091,6.2455,28.48,89.21,2.51
2023-09-10,5.5058,6.1812,28.95,87.21,2.01
2023-09-11,4.6723,6.1939,28.92,86.93,1.74
2023-09-12,4.3711,6.3262,28.86,87.78,1.86
2023-09-13,5.2198,6.4529,27.64,92.54,4.29
2023-09-14,4.3632,6.5028,28.2,91.74,5.87
2023-09-15,4.3646,6.3744,27.67,93.37,3.41
2023-09-16,5.7053,6.2827,28.63,88.61,2.34
2023-09-17,5.4787,6.1361,29.65,83.24,1.42
2023-09-18,4.0877,6.1562,27.87,91.66,2.15
2023-09-19,3.42,6.3475,27.5,92.3,4.7
2023-09-20,2.669,6.2909,27.58,93.5,4.17
2023-09-21,2.3626,6.0338,27.47,94.65,4.34
2023-09-22,2.6966,5.9693,27.51,93.46,3.54
2023-09-23,2.6779,6.1198,27.86,92.39,3.4
2023-09-24,2.8726,5.8608,27.88,92.2,2.76
2023-09-25,4.0656,5.9762,27.81,90.84,2.1
2023-09-26,5.4264,5.9962,28.55,86.43,1.52
2023-09-27,5.2466,5.825,28.47,86.7,1.27
2023-09-28,5.4108,5.91,28.59,87.23,1.87
2023-09-29,2.7086,6.0413,28.27,92.38,1.93
2023-09-30,3.8863,6.1306,27.31,94.35,4.51
2023-10-01,4.3255,6.091,27.57,90.96,3.96
2023-10-02,4.1971,5.9467,27.41,91.94,2.84
2023-10-03,2.9954,5.8073,27.41,92.48,3.74
2023-10-04,1.4695,5.8908,27.49,94.88,4.54
2023-10-05,0.8626,5.4442,27.19,94.85,4.8
2023-10-06,2.7394,5.1257,27.52,92.23,4.2
2023-10-07,3.4774,5.0597,28.06,90.66,2.7
2023-10-08,4.7083,5.1398,28.41,87.55,1.89
2023-10-09,4.0918,4.9368,28.41,87.99,2.07
2023-10-10,4.3416,4.8161,28.69,78.88,1.21
2023-10-11,4.361,4.7395,28.44,79.78,1.41
2023-10-12,4.6706,4.7825,28.49,74.96,1.3
2023-10-13,4.8185,5.0914,28.06,69.19,1.2
2023-10-14,5.0042,5.1286,27.19,68.07,1.43
2023-10-15,5.0069,5.0568,26.98,71.52,1.3
2023-10-16,5.2202,5.2385,26.69,71.88,1.39
2023-10-17,5.1967,5.2814,26.78,74.28,1.2
2023-10-18,4.763,4.8408,26.32,81.05,1.79
2023-10-19,4.999,5.07,25.32,83.92,2.23
2023-10-20,5.345,5.3582,24.71,84.19,2.34
2023-10-21,5.275,5.3602,24.3,83.92,2.53
2023-10-22,3.9113,5.2982,25.33,82.14,2.02
2023-10-23,3.0566,5.0378,25.45,86.16,1.57
2023-10-24,3.7164,5.0834,25.13,89.63,3.28
2023-10-25,4.5979,5.1295,25.91,85.98,2.08
2023-10-26,4.9634,5.1221,25.9,82.44,1.57
2023-10-27,4.7743,5.0532,25.02,82.66,1.93
2023-10-28,4.6994,4.9246,24.56,80.46,2.2
2023-10-29,4.7513,4.8283,23.51,77.73,2.2
2023-10-30,4.848,5.0201,24.26,76.83,1.94
2023-10-31,5.0971,5.1058,25.02,72.98,1.33
2023-11-01,5.1864,5.189,24.8,80.96,2.26
2023-11-02,5.0194,5.04,25.24,83.26,2.07
2023-11-03,3.8016,4.2754,25.64,79.25,1.71
2023-11-04,3.4836,3.7915,26.08,75.04,1.23
2023-11-05,3.3067,3.8954,24.76,83.68,2.15
2023-11-06,4.4587,4.4707,23.45,80.23,2.55
2023-11-07,3.8839,4.4143,22.48,77.19,2.35
2023-11-08,4.1407,4.171,22.41,77.18,2.05
2023-11-09,4.2578,4.2686,22.39,75.5,2.0
2023-11-10,4.5,4.5007,22.28,78.89,2.25
2023-11-11,4.5581,4.5588,22.07,83.7,2.57
2023-11-12,4.5869,4.5931,22.27,84.02,2.66
2023-11-13,4.7796,4.7978,22.31,84.13,2.64
2023-11-14,4.6512,4.884,22.56,78.89,2.29
2023-11-15,4.1446,4.6099,22.93,75.11,1.91
2023-11-16,1.7395,4.405,23.2,85.81,2.45
2023-11-17,2.1473,4.595,23.42,91.94,4.77
2023-11-18,3.2282,4.5607,23.4,85.58,2.29
2023-11-19,4.4458,4.6291,23.27,82.55,2.07
2023-11-20,4.2283,4.5329,22.77,82.92,2.17
2023-11-21,3.9442,4.285,23.43,80.64,2.2
2023-11-22,3.7622,3.7738,21.01,80.46,2.47
2023-11-23,3.6773,3.689,20.03,80.15,2.37
2023-11-24,3.9269,4.0766,20.66,78.45,2.14
2023-11-25,4.224,4.4117,21.1,81.41,2.5
2023-11-26,4.6572,4.6694,21.72,77.38,2.02
2023-11-27,4.152,4.5286,21.55,76.24,1.56
2023-11-28,4.1894,4.2173,22.16,77.57,1.93
2023-11-29,2.6741,3.6672,22.33,74.22,1.53
